ID,Lemma,Complement,BirthYear,DeathYear,URL,UncertaintyBirth,UncertaintyDeath
16155,Pestelli,Lorenzo,1935 - 1977,,http://hls-dhs-dss.ch/de/articles/016155/2009-12-01/,,
6114,Amsler,Kurt,1935 -,,http://hls-dhs-dss.ch/de/articles/006114/1997-06-13/,,
11554,Bichsel,Peter,1935 -,,http://hls-dhs-dss.ch/de/articles/011554/2020-01-09/,,
30223,Blaser,Marco,1935 -,,http://hls-dhs-dss.ch/de/articles/030223/2005-11-07/,,
33658,Cavelty,Luregn Mathias,1935 -,,http://hls-dhs-dss.ch/de/articles/033658/2003-09-01/,,
43417,Däniken,Erich von,1935 -,,http://hls-dhs-dss.ch/de/articles/043417/2004-03-19/,,
32439,Etter,Jean-Pierre,1935 -,,http://hls-dhs-dss.ch/de/articles/032439/2002-12-19/,,
28665,Külling,Ruedi,1935 -,,http://hls-dhs-dss.ch/de/articles/028665/2008-11-06/,,
47849,Losinger,Vinzenz,1935 -,,http://hls-dhs-dss.ch/de/articles/047849/2008-07-10/,,
34972,Mariétan,Pierre,1935 -,,http://hls-dhs-dss.ch/de/articles/034972/2012-05-25/,,
33725,Mauch,Ursula,1935 -,,http://hls-dhs-dss.ch/de/articles/033725/2008-08-22/,,
46093,Meyer,Ulrich,1935 -,,http://hls-dhs-dss.ch/de/articles/046093/2008-02-25/,,
33307,Morel,Félicien,1935 -,,http://hls-dhs-dss.ch/de/articles/033307/2010-01-26/,,
49472,Primas,Margarita,1935 -,,http://hls-dhs-dss.ch/de/articles/049472/2012-04-12/,,
44849,Riklin,Alois,1935 -,,http://hls-dhs-dss.ch/de/articles/044849/2011-11-25/,,
46170,Spoerri,Bruno,1935 -,,http://hls-dhs-dss.ch/de/articles/046170/2013-01-10/,,
43864,Spühler,Karl,1935 -,,http://hls-dhs-dss.ch/de/articles/043864/2010-05-07/,,
46713,Walker,Felix,1935 -,,http://hls-dhs-dss.ch/de/articles/046713/2013-08-07/,,
6754,Wick,Hugo,1935 -,,http://hls-dhs-dss.ch/de/articles/006754/2013-10-29/,,
46358,Zäch,Guido,1935 -,,http://hls-dhs-dss.ch/de/articles/046358/2014-01-31/,,
11655,Haas,Alois Maria,1934 - 2025,,http://hls-dhs-dss.ch/de/articles/011655/2025-04-17/,,
33722,Keller,Anton,1934 - 2025,,http://hls-dhs-dss.ch/de/articles/033722/2014-11-26/,,
48745,Jacot,Monique,1934 - 2024,,http://hls-dhs-dss.ch/de/articles/048745/2024-10-21/,,
31725,Wirth,Niklaus,1934 - 2024,,http://hls-dhs-dss.ch/de/articles/031725/2024-02-13/,,
6204,Bourgknecht,Jean-François,1934 - 2023,,http://hls-dhs-dss.ch/de/articles/006204/2023-04-13/,,
34973,Marti,Heinz,1934 - 2023,,http://hls-dhs-dss.ch/de/articles/034973/2024-01-08/,,
45817,Rauber,Karl-Josef,1934 - 2023,,http://hls-dhs-dss.ch/de/articles/045817/2024-02-01/,,
29765,Bösch,Fritz,1934 - 2022,,http://hls-dhs-dss.ch/de/articles/029765/2023-02-21/,,
44442,Reuter,Harald,1934 - 2022,,http://hls-dhs-dss.ch/de/articles/044442/2022-07-05/,,
3203,Stamm,Judith,1934 - 2022,,http://hls-dhs-dss.ch/de/articles/003203/2025-06-10/,,
20557,Corboz,Michel,1934 - 2021,,http://hls-dhs-dss.ch/de/articles/020557/2021-11-02/,,
48929,Hutter,Schang,1934 - 2021,,http://hls-dhs-dss.ch/de/articles/048929/2022-08-17/,,
41488,Neveršilová,Olga,1934 - 2021,,http://hls-dhs-dss.ch/de/articles/041488/2023-01-16/,,
44481,Vollmar,Paul,1934 - 2021,,http://hls-dhs-dss.ch/de/articles/044481/2021-06-11/,,
43641,Borgeaud,Pierre,1934 - 2019,,http://hls-dhs-dss.ch/de/articles/043641/2019-07-19/,,
9453,Businger,Toni,1934 - 2019,,http://hls-dhs-dss.ch/de/articles/009453/2005-02-16/,,
46351,Willi,Jürg,1934 - 2019,,http://hls-dhs-dss.ch/de/articles/046351/2019-11-08/,,
48305,Matt,Gebhard,1934 - 2017,,http://hls-dhs-dss.ch/de/articles/048305/2017-08-24/,,
47727,Saner,Hans,1934 - 2017,,http://hls-dhs-dss.ch/de/articles/047727/2018-02-13/,,
62188,Stauffer,Doris,1934 - 2017,,http://hls-dhs-dss.ch/de/articles/062188/2025-01-14/,,
24159,Portmann,Kurt,1934 - 2016,,http://hls-dhs-dss.ch/de/articles/024159/2017-09-27/,,
46618,Dunant,Jean Henri,1934 - 2015,,http://hls-dhs-dss.ch/de/articles/046618/2016-11-29/,,
9560,Stämpfli,Jakob,1934 - 2014,,http://hls-dhs-dss.ch/de/articles/009560/2014-10-02/,,
33656,Schoch,Otto,1934 - 2013,,http://hls-dhs-dss.ch/de/articles/033656/2014-03-05/,,
16183,Vuilleumier,Jean,1934 - 2012,,http://hls-dhs-dss.ch/de/articles/016183/2015-01-05/,,
16061,Dimitrijevic,Vladimir,1934 - 2011,,http://hls-dhs-dss.ch/de/articles/016061/2013-01-16/,,
44845,Masnata,François,1934 - 2011,,http://hls-dhs-dss.ch/de/articles/044845/2011-03-31/,,
46361,Zinsli,Peter,1934 - 2011,,http://hls-dhs-dss.ch/de/articles/046361/2017-09-20/,,
27351,Haefeli,Georges-Jacques,1934 - 2010,,http://hls-dhs-dss.ch/de/articles/027351/2021-06-01/,,
27398,Piazzoli,Niki,1934 - 2010,,http://hls-dhs-dss.ch/de/articles/027398/2011-07-07/,,
16041,Chessex,Jacques,1934 - 2009,,http://hls-dhs-dss.ch/de/articles/016041/2024-08-23/,,
49520,Schumacher,Philipp,1934 - 2006,,http://hls-dhs-dss.ch/de/articles/049520/2011-08-22/,,
48619,Hoffmann-Nowotny,Hans-Joachim,1934 - 2004,,http://hls-dhs-dss.ch/de/articles/048619/2006-11-06/,,
47712,Horvath,Arpad,1934 - 2004,,http://hls-dhs-dss.ch/de/articles/047712/2006-11-16/,,
33748,Leuba,Jean-François,1934 - 2004,,http://hls-dhs-dss.ch/de/articles/033748/2007-01-08/,,
9142,Bory,Jean-Marc,1934 - 2001,,http://hls-dhs-dss.ch/de/articles/009142/2004-10-13/,,
