office,name_de,name_fr
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O67,Delegierter für Raumplanung,Délégué à l'aménagement du territoire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O68,Delegierter für Wohnungsbau,Délégué à la construction des logements
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O69,Delegierter für technische Zusammenarbeit,Délégué à la coopération technique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O7,Bundesarchiv,Archives fédérales
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O70,Delegierter für wirtschaftliche Kriegsvorsorge,Délégué à la défense nationale économique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O71,Eidgenössisches Departement für auswärtige Angelegenheiten,Département fédéral des affaires étrangères
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O72,Politisches Departement,Département politique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O73,Hengst- und Fohlendepot,Dépôt d'étalons et de poulains
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O74,Militärpferdeanstalt,Dépôts des chevaux de l'armée
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O75,Militärstrafdetachement Zugerberg,Détachement des détenus militaires du Zugerberg
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O76,Turn- und Sportschule,Ecole de gymnastique et de sport
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O77,Sportschule Magglingen,Ecole de sport de Macolin
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O78,Technische Hochschule,Ecole polytechnique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O79,Technische Hochschule Lausanne,"Ecole polytechnique, Lausanne"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O8,Armasuisse,Armasuisse
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O80,Technische Hochschule Zürich,"Ecole polytechnique, Zurich"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O81,Eidgenössisches Technische Hochschulen und Forschungsanstalten,Ecoles polytechniques fédérales et instituts de recherches
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O82,PTT-Betriebe,Entreprise des PTT
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O83,Landwirtschaftliche Versuchs- und Untersuchungsanstalten,Etablissement d'essais et d'analyses agricoles
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O84,Generalstab,Etat major général
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O85,Stab Gruppe für Wissenschaft und Forschung,Etat-major du groupement de la science et de la recherche
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O86,Luftwaffe,Forces aériennes
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O87,Heer,Forces terrestres
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O88,Gruppe Rüstung,Groupement de l'armement
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O89,Gruppe für Ausbildung,Groupement de l'instruction
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O9,Armasuisse Beschaffung,Armasuisse acquisitions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O90,Gestüt,Haras
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O91,Oberforstinspektorat,Inspection des forêts
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O92,"Inspektion für Forstwesen, Jagd und Fischerei","Inspection des forêts, chasse et pêche"
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O93,Oberbauinspektorat,Inspection des travaux publics
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O94,Meteorologische Anstalt,Institut de météorologie
